	CO	NO2	O3	SO2	PM2.5	PM10	aqi
257	307.08	43.87	60.8	3.1	4.31	12.11	55.0
258	307.08	43.87	60.8	3.1	4.31	12.11	55.0
259	176.91	5.27	91.55	0.39	2.68	11.16	141.0
260	188.59	5.23	100.14	0.71	2.44	9.6	162.0
261	188.59	5.23	100.14	0.71	2.44	9.6	162.0
262	694.28	82.94	1.81	3.73	14.0	25.71	101.0
263	694.28	82.94	1.81	3.73	14.0	25.71	101.0
264	185.25	4.58	100.14	0.41	2.61	10.22	162.0
265	185.25	4.58	100.14	0.41	2.61	10.22	162.0
266	188.59	5.23	100.14	0.71	2.44	9.6	162.0
267	188.59	5.23	100.14	0.71	2.44	9.6	162.0
268	188.59	5.23	100.14	0.71	2.44	9.6	162.0
269	176.91	5.27	91.55	0.39	2.68	11.16	141.0
270	347.14	51.41	43.27	3.82	6.2	16.85	64.0
271	347.14	51.41	43.27	3.82	6.2	16.85	64.0
272	347.14	51.41	43.27	3.82	6.2	16.85	64.0
273	176.91	5.27	91.55	0.39	2.68	11.16	141.0
274	176.91	5.27	91.55	0.39	2.68	11.16	141.0
275	188.59	5.23	100.14	0.71	2.44	9.6	162.0
276	188.59	5.23	100.14	0.71	2.44	9.6	162.0
277	188.59	5.23	100.14	0.71	2.44	9.6	162.0
278	1228.33	178.22	1.5	28.85	58.31	79.68	162.0
279	188.59	5.23	100.14	0.71	2.44	9.6	162.0
280	1228.33	178.22	1.5	28.85	58.31	79.68	162.0
281	185.25	4.58	100.14	0.41	2.61	10.22	162.0
282	193.6	6.68	97.28	1.04	2.44	9.91	155.0
283	347.14	51.41	43.27	3.82	6.2	16.85	64.0
284	347.14	51.41	43.27	3.82	6.2	16.85	64.0
285	158.55	2.1	88.69	0.14	2.44	10.28	134.0
286	185.25	4.58	100.14	0.41	2.61	10.22	162.0
287	185.25	4.58	100.14	0.41	2.61	10.22	162.0
288	185.25	4.58	100.14	0.41	2.61	10.22	162.0
289	185.25	4.58	100.14	0.41	2.61	10.22	162.0
290	188.59	5.23	100.14	0.71	2.44	9.6	162.0
291	185.25	4.58	100.14	0.41	2.61	10.22	162.0
292	185.25	4.58	100.14	0.41	2.61	10.22	162.0
293	185.25	4.58	100.14	0.41	2.61	10.22	162.0
294	347.14	51.41	43.27	3.82	6.2	16.85	64.0
295	188.59	5.23	100.14	0.71	2.44	9.6	162.0
296	347.14	51.41	43.27	3.82	6.2	16.85	64.0
297	347.14	51.41	43.27	3.82	6.2	16.85	64.0
