	zip_code	y-2016	latitude	longitude
688	93205	1630	35.587	-118.4847
689	93206	1978	35.4033	-119.4659
690	93207	252	35.8818	-118.6561
691	93208	74	36.1427	-118.6093
692	93210	18617	36.1624	-120.3489
693	93212	24861	36.0865	-119.5607
694	93215	55494	35.7715	-119.2459
695	93218	1068	35.8916	-119.0473
696	93219	10266	35.8744	-119.281
697	93220	381	35.3475	-118.8718
698	93221	15109	36.3041	-119.1293
699	93222	1542	34.8469	-119.1568
700	93223	10699	36.3002	-119.2054
701	93224	432	35.1786	-119.5412
702	93225	4886	34.8265	-119.0355
703	93226	211	35.7377	-118.7169
704	93230	66109	36.3314	-119.6491
705	93234	6865	36.2371	-120.102
706	93235	4014	36.3856	-119.2189
707	93238	1550	35.755	-118.4047
708	93239	1704	36.0083	-119.9618
709	93240	6489	35.669	-118.457
710	93241	17233	35.2571	-118.9124
711	93242	3748	36.4378	-119.7156
712	93243	1736	34.8818	-118.8566
713	93244	396	36.4969	-118.9941
714	93245	37502	36.2682	-119.8173
715	93247	18676	36.2096	-119.0884
716	93249	2277	35.6163	-119.6943
717	93250	14824	35.6758	-119.2272
718	93251	236	35.3031	-119.6366
719	93252	3437	35.0589	-119.401
720	93254	685	34.9967	-119.8238
721	93255	675	35.6824	-118.0959
722	93256	6092	35.9553	-119.2564
723	93257	75715	36.0686	-119.0315
724	93258	2650	36.0331	-119.0073
725	93260	199	35.8135	-118.6643
726	93261	3221	35.805	-119.1315
727	93262	74	36.6007	-118.711
728	93263	20346	35.497	-119.2801
729	93265	3290	36.1363	-118.7961
730	93266	1271	36.179	-119.8236
731	93267	6817	36.1472	-119.0792
732	93268	17643	35.1482	-119.4557
733	93270	5654	35.957	-119.0312
734	93271	2001	36.4377	-118.8875
735	93272	4117	36.0546	-119.3078
736	93274	72264	36.2022	-119.338
737	93276	216	35.2992	-119.3584
738	93277	52526	36.3114	-119.3065
739	93280	27572	35.648	-119.4487
740	93283	2339	35.6391	-118.2859
741	93285	1700	35.7246	-118.4559
